PassengerId,comp_1,comp_2,comp_3,comp_4,comp_5,comp_6,comp_7,comp_8,comp_9,comp_10,Transported
0001_01,0.4239893889711203,-0.07532098006210694,-0.04373461575653056,-0.20778340423604597,-0.25045367232222815,0.011026844042495697,-0.06734580166032512,0.11544288405676091,0.07079304263668296,0.024640845462243655,0
0002_01,0.10363633650915698,-0.1948773387687944,0.1023634341562231,-0.048375200704908784,0.20475164816363836,0.0351475911473854,0.1315756753492473,0.23565658093252467,-0.017665755223222283,-0.09339369639683888,1
0003_01,0.9361101791661376,0.2734121125002787,-0.21381348905171182,0.40285063789882475,0.2089223673603494,-0.041462520863687874,0.11925394697291006,0.49036805843244624,-0.42792823336705504,0.1178095397833184,0
0003_02,0.6022192322298413,-0.10253750127694648,0.033890581211725564,0.341654228614951,0.2096902661792273,0.18679555792727684,0.07089231827967717,0.3858208232114311,-0.31847788270897553,-0.0246002584299653,0
0004_01,0.026179456864311636,-0.27713172566408045,0.27223000552781546,0.008017512135145568,0.21674986896203563,0.04883773862055189,0.14957118908490413,0.19990466970433307,-0.049812511913045254,-0.0670028557161097,1
0005_01,0.31016927320878673,0.09333435944473482,-0.13902673309233513,-0.13165696159743387,-0.2507270799036154,0.014933651110890447,0.1302946762427358,-0.040409293164511195,-0.10259118814626733,-0.005516292077023212,1
0006_01,0.1770836313275483,-0.18594153669854718,0.0378141391007025,0.030752285328868943,0.21494400606554742,0.021480923665380697,0.07797704232536026,0.09722532835946192,0.13554667414258312,0.2720759546104137,1
0006_02,0.08352386522278364,-0.29464014177064224,-0.13611107187237004,-0.31453792224667865,0.1671951894739078,0.021097483936019047,0.23359849714418027,0.09771008499549937,0.06694609504390095,0.028772726329299878,1
0007_01,0.24023092269178284,-0.043840523605093204,-0.03870581284848958,-0.0776175856880076,0.20011531973267674,0.05555237104065074,0.10961099025589414,0.16161668278524832,0.07435169125404444,0.11024470212993888,1
0008_01,0.17798530184658787,-0.5580589408987919,0.03436058501801417,-0.10095477827780384,-0.23833114665357125,-0.032388193085448554,-0.2592554834635078,-0.2139221617435151,-0.16431919118674282,-0.06106661467570222,1
0008_02,0.35387674031510513,-0.19932288085538089,-0.0724191319893367,-0.2668287628791295,-0.25093208196317013,-0.009582839931844786,-0.15521905907838274,0.10826587511734874,0.05060515235939097,0.02414294342006399,1
0008_03,0.7961030138968912,0.0548029065585936,-0.057694525942339196,0.33949217484382455,-0.2055987029865743,0.2054352525072315,-0.10198348368746016,-0.36290073721944643,-0.08559657879912917,0.6039096646100097,1
0009_01,0.20579977309822997,0.06556224906364175,0.367971029224613,-0.15445157688046907,-0.25120417665953654,0.5059371153220483,-0.11693492966451323,0.08047333691454014,0.09720631610241003,-0.03604408196186463,1
0010_01,0.31882904399940554,0.16965530204611198,0.06170080371129661,-0.36971196212122615,0.19149667774656784,-0.1161091887182686,0.4547931144210374,0.009068433271961444,0.05165833874014019,0.038949374311893534,0
0011_01,0.15027579996187124,-0.14224545711011663,0.04180582954503965,-0.01924877492599717,-0.2296914824881286,0.018408371694186524,0.07149380342046276,0.11653826394885157,0.11885153047831278,0.18971597519146335,1
0012_01,0.19095579364125345,-0.0949781733639735,0.17136248434317153,-0.18831371926544066,-0.053183649849368256,0.4685671435398961,0.26071958560847464,0.03715082969043762,0.05826864917214165,0.01922545393730094,0
0014_01,0.20378698460126626,0.0042976740352576774,0.568519766401459,-0.18590101797101152,-0.1842823715573944,-0.301610194288849,-0.11909599025675029,-0.25493877239517293,-0.16938247444324456,-0.07007153621253456,0
0015_01,0.1218753248038816,-0.24781046306804627,0.020012806873635203,0.021189310558949747,-0.2479555009658475,-0.004976941216560052,0.029073805113868242,-0.22939084956877762,0.03571223622419244,-0.2337001021767076,0
0016_01,0.3094685035690387,0.10803005138531681,-0.020656815275257173,-0.385047567820281,-0.24806793237299446,0.01734968671516767,-0.23884548611900203,0.19098644154260255,0.08710275883906658,-0.03169757519134777,1
