PassengerId,z1,z2,z3,z4,z5,z6,z7,z8,z9,z10,z11,z12,z13,z14,z15,z16,Transported
0001_01,-0.15820462747855937,0.13270378722738563,-0.4308066745886218,-0.32058879237133153,-0.4104169563671548,-0.6241050402593129,0.27669925268288736,0.45390024081103375,-0.49085702859250446,-0.16239642275497293,0.3377165253055144,0.015405954737799949,-0.22923011813511968,0.350632943413761,-0.6147338844537598,-0.4687021299433912,0
0002_01,-0.4346017660780904,-0.19717009505659652,-0.18541039970053508,-0.19929494617665564,0.2164601426738885,-0.3645084983827942,0.19164935854962106,0.03490027171089562,-0.27521448013896194,0.009058439589112418,0.39942268647384366,-0.22413017859701712,0.25464005616211144,-0.056156754131965164,0.08095817236667968,-0.2229741983851492,1
0003_01,-0.10563749513827078,-0.9467126615280571,-0.8665953415239671,-0.8154692625513101,0.6162843914814952,0.4646454616876482,-0.6682979785674591,0.9096620376379306,-0.6415143866911561,0.9067525698460824,-0.9107173705832323,0.509791781791482,-0.7980818332262832,-0.9484557845822772,-0.9543549899146667,-0.16620885678186004,0
0003_02,-0.5131362612654174,-0.6532312428991891,-0.621006342743865,-0.6263676017577603,0.6405780804103737,-0.08054975597661679,-0.4195583473094683,0.6906686006418242,-0.35134139052402186,0.6760152151974246,-0.16231732520921707,0.05331285656267562,-0.2990553020812927,-0.4982150067040477,-0.6340490256528358,-0.04835440171326788,0
0004_01,-0.5436918890840391,-0.18181065423150516,-0.1170581568918985,-0.17516361183691798,0.3698388202028829,-0.20105918693048538,0.17598250025236598,0.06646398843567189,-0.2706673807710281,0.15798104728836182,0.6046654073127067,-0.24485486176399332,0.44680125017117533,0.0020459765013194123,0.3832805168469627,0.03736386206557579,1
0005_01,0.12657465967667414,-0.007543746540409434,-0.22015832606317903,-0.13885269745731849,-0.41066691935384597,-0.5467823701781728,0.1497306037536284,0.3412861431099872,-0.23652886253335018,-0.2234378774768532,0.020176875388799573,0.19294956855852616,-0.27033686926874484,0.07585073978055855,-0.5804168081314601,-0.4682531368058962,1
0006_01,-0.028401558638546372,0.05210922276350376,-0.11398217055235739,-0.2759706791806073,0.24636984826304137,-0.3443412171231436,0.046676338733511326,0.15718891490492726,-0.3540213714552174,-0.3116367790622739,0.41699038971366625,-0.44963034071470664,0.09007415079310027,-0.21479983705582925,0.007438279551644905,-0.021566289878763103,1
0006_02,-0.2959773771509673,-0.11357673801374622,-0.3820083092079024,-0.24253676515298908,0.0945898320900876,-0.6275609521356587,0.45586136722023873,0.10319316990384314,-0.217974281035559,-0.3725418581676952,0.47378099548624,-0.5108743020257029,0.3205066194653099,-0.016776961844467128,-0.14222671940036394,-0.562042781748237,1
0007_01,-0.09459000658919467,-0.08386941261875294,-0.10380793879650188,-0.1831426403407215,0.022132789800080835,-0.5477675827640389,0.15265985301350454,0.15841894015574923,-0.30369892107731583,-0.25852323489498596,0.16847477455215543,-0.2649067998714848,-0.1934280492068135,-0.19715750203253085,-0.26388395780592144,-0.27624288369955763,1
0008_01,-0.35315436275203427,0.1180349565970344,-0.5570474413797557,-0.560365438163022,0.2942648376536868,-0.274099929850188,0.24172091151230482,0.2773634099256204,-0.35395765762676834,0.031700084089837446,0.7725415234938433,-0.4802382230401071,0.658067434782586,0.6258646917782457,-0.3103297366586211,-0.32260720944767035,1
0008_02,-0.21066029800930108,0.16975318138106624,-0.4988629458865372,-0.40027821210062486,-0.3205013597291449,-0.6192729789022628,0.3563030995826161,0.4341473157647542,-0.4941256953387033,-0.11957883058999307,0.4525485609483704,-0.19627507091192556,0.010850815843145909,0.41886242613396163,-0.5923684538166732,-0.5578696178940439,1
0008_03,0.882441630638332,0.597210235123241,-0.19768670020209667,-0.701420292610901,0.459545346659881,-0.07314750675460481,-0.751737408123099,0.911939458858683,-0.5550155234689154,-0.5242172202958063,0.27240720871699253,-0.5589152017253937,-0.8350238335637229,-0.5276655011616752,-0.8397274031331803,0.7814055127096622,1
0009_01,-0.4420574719588595,0.5230772708444508,0.3090053880458548,0.11984977199826512,-0.12409829540917296,-0.7489958370366375,-0.31263071677505944,0.5731394141083358,0.06553784728405442,0.35037208347586307,0.5962924897177392,0.2511760097894449,-0.5022683932716139,0.5883696004511909,-0.04154970396012983,0.2358425437560445,1
0010_01,-0.2235797805090242,-0.34540347675034455,-0.0032399372930165178,0.15138107340055784,-0.4685256550330613,-0.6785179326985011,0.6862062554013569,0.3536600520353891,-0.47669279569354966,-0.3719611297333967,0.10522024049206248,0.15844277396707204,-0.546474132920064,-0.2706719540590221,-0.35442220546773934,-0.2720718922454079,0
0011_01,-0.025052801004725875,0.3059847887109297,-0.2849774376910721,-0.22151793007348194,-0.2099832715061193,-0.29453300931472054,-0.015093211756109915,0.2534289586617749,-0.35329591986381126,-0.1421107609385181,0.4732569510347988,-0.08240024368170787,0.21635993390749467,0.11032512833900494,-0.056480597956639955,-0.23257521912068693,1
